ID,Category,Keyword,Board,Target_URL,Background_Type,Text_Style_Class,Image_Big_Title,Image_Sub_Title,状态,发布时间,图片alt,pin_title,pin_description,pin_img_url
STRAT_V16_0029,MASCULINE,chinese names male old,Chinese Names | Boy & Fantasy,https://chinesename.us/chinese-boy-names,08-bg_wuxia_sword.png,style-text-light,OLD NAMES,NAMES IN CHINESE!,初始,,,,,
STRAT_V16_0030,MASCULINE,chinese names male old,Chinese Names | Boy & Fantasy,https://chinesename.us/chinese-boy-names,10-bg_wuxia_dark.png,style-text-light,OLD NAMES,CHINESE NAMES,初始,,,,,
STRAT_V16_0031,NEUTRAL_MIX,chinese girl names that start with s,Chinese Names | Inspiration,https://chinesename.us/chinese-girl-names,13-bg_history_republic.png,style-text-dark,START WITH S,CHINESE NAMES,初始,,,,,
STRAT_V16_0032,FEMININE,chinese winter names,Chinese Names | Girl & Aesthetic,https://chinesename.us/name-generator,04-bg_aesthetic_orchid.png,style-text-dark,WINTER,NAMES IN CHINESE!,初始,,,,,
STRAT_V16_0033,NATURE_ONLY,chinese food names list,Chinese Names | Inspiration,https://chinesename.us/name-generator,02-bg_aesthetic_sky.png,style-text-light,FOOD NAMES,MEANING IN CHINESE,初始,,,,,
STRAT_V16_0034,MASCULINE,chinese boy names list,Chinese Names | Boy & Fantasy,https://chinesename.us/chinese-boy-names,07-bg_wuxia_fire.png,style-text-light,BOY NAMES,SEE FULL LIST,初始,,,,,
STRAT_V16_0035,MASCULINE,chinese names male list,Chinese Names | Boy & Fantasy,https://chinesename.us/chinese-boy-names,07-bg_wuxia_fire.png,style-text-light,UNIQUE BOY NAMES,50+ IDEAS,初始,,,,,
STRAT_V16_0036,NEUTRAL_MIX,chinese names list,Chinese Names | Inspiration,https://chinesename.us/name-generator,11-bg_history_scrolls.png,style-text-dark,COOL NAME IDEAS,AUTHENTIC LIST,初始,,,,,
STRAT_V16_0037,MASCULINE,chinese names and meanings boy,Chinese Names | Boy & Fantasy,https://chinesename.us/chinese-names-and-meanings,10-bg_wuxia_dark.png,style-text-light,BOY NAMES,NAMES IN CHINESE!,初始,,,,,
STRAT_V16_0038,NEUTRAL_MIX,chinese names and meanings,Chinese Names | Inspiration,https://chinesename.us/chinese-names-and-meanings,12-bg_history_architecture.png,style-text-dark,NAME IDEAS,MEANING IN CHINESE,初始,,,,,
STRAT_V16_0039,NEUTRAL_MIX,chinese character names ideas,Chinese Names | Inspiration,https://chinesename.us/name-generator,03-bg_aesthetic_water.png,style-text-dark,NAME IDEAS,MEANING IN CHINESE,初始,,,,,
STRAT_V16_0040,NEUTRAL_MIX,insta user names ideas chinese,Chinese Names | Inspiration,https://chinesename.us/name-generator,12-bg_history_architecture.png,style-text-dark,TOP 100 NAME IDEAS,NATIVE AUDIO,初始,,,,,
STRAT_V16_0041,FEMININE,chinese names girl,Chinese Names | Girl & Aesthetic,https://chinesename.us/chinese-girl-names,01-bg_aesthetic_flower.png,style-text-dark,GIRL NAMES,FOR CHARACTERS,初始,,,,,
STRAT_V16_0042,FEMININE,chinese names and meanings girl,Chinese Names | Girl & Aesthetic,https://chinesename.us/chinese-names-and-meanings,01-bg_aesthetic_flower.png,style-text-dark,GIRL NAMES,SEE FULL LIST,初始,,,,,
STRAT_V16_0043,MASCULINE,chinese names and meaning male,Chinese Names | Boy & Fantasy,https://chinesename.us/chinese-names-and-meanings,06-bg_wuxia_dragon.png,style-text-light,COOL BOY NAMES,NATIVE AUDIO,初始,,,,,
STRAT_V16_0044,FEMININE,chinese names with hua,Chinese Names | Girl & Aesthetic,https://chinesename.us/name-generator,05-bg_aesthetic_willow.png,style-text-dark,HUA (花),NAMES IN CHINESE!,初始,,,,,
STRAT_V16_0045,FEMININE,chinese names girl with meaning,Chinese Names | Girl & Aesthetic,https://chinesename.us/chinese-names-and-meanings,01-bg_aesthetic_flower.png,style-text-dark,GIRL NAMES,FOR OCS,初始,,,,,
STRAT_V16_0046,FEMININE,aesthetic chinese names with meaning,Chinese Names | Girl & Aesthetic,https://chinesename.us/chinese-names-and-meanings,05-bg_aesthetic_willow.png,style-text-dark,AESTHETIC,AUTHENTIC LIST,初始,,,,,
STRAT_V16_0047,NATURE_ONLY,chinese food names list,Chinese Names | Inspiration,https://chinesename.us/name-generator,03-bg_aesthetic_water.png,style-text-dark,FOOD NAMES,CHINESE NAMES,初始,,,,,
STRAT_V16_0048,MASCULINE,chinese female names list,Chinese Names | Boy & Fantasy,https://chinesename.us/chinese-girl-names,07-bg_wuxia_fire.png,style-text-light,UNIQUE BOY NAMES,NAMES IN CHINESE!,初始,,,,,
STRAT_V16_0049,NEUTRAL_MIX,chinese names with meaning,Chinese Names | Inspiration,https://chinesename.us/chinese-names-and-meanings,12-bg_history_architecture.png,style-text-dark,NAME IDEAS,NAMES IN CHINESE!,初始,,,,,
STRAT_V16_0050,MASCULINE,chinese male names and meanings,Chinese Names | Boy & Fantasy,https://chinesename.us/chinese-names-and-meanings,08-bg_wuxia_sword.png,style-text-light,BOY NAMES,SEE FULL LIST,初始,,,,,
STRAT_V16_0051,MASCULINE,chinese names boys with meaning,Chinese Names | Boy & Fantasy,https://chinesename.us/chinese-names-and-meanings,07-bg_wuxia_fire.png,style-text-light,BOY NAMES,SEE FULL LIST,初始,,,,,
STRAT_V16_0052,NEUTRAL_MIX,chinese last names ideas,Chinese Names | Inspiration,https://chinesename.us/chinese-last-names,13-bg_history_republic.png,style-text-dark,SURNAMES,KANJI & MEANING,初始,,,,,
STRAT_V16_0053,FEMININE,chinese girls names list,Chinese Names | Girl & Aesthetic,https://chinesename.us/chinese-girl-names,01-bg_aesthetic_flower.png,style-text-dark,UNIQUE GIRL NAMES,50+ IDEAS,初始,,,,,
STRAT_V16_0054,FEMININE,chinese names aesthetic male,Chinese Names | Girl & Aesthetic,https://chinesename.us/chinese-boy-names,01-bg_aesthetic_flower.png,style-text-dark,AESTHETIC,NATIVE AUDIO,初始,,,,,
STRAT_V16_0055,MASCULINE,male chinese names with meanings,Chinese Names | Boy & Fantasy,https://chinesename.us/chinese-names-and-meanings,08-bg_wuxia_sword.png,style-text-light,TOP 20 BOY NAMES,FOR OCS,初始,,,,,
STRAT_V16_0056,MASCULINE,chinese names girl meaning dragon,Chinese Names | Boy & Fantasy,https://chinesename.us/fantasy-chinese-name-generator,10-bg_wuxia_dark.png,style-text-light,DRAGON,KANJI & MEANING,初始,,,,,
STRAT_V16_0057,FEMININE,aesthetic chinese names with meaning,Chinese Names | Girl & Aesthetic,https://chinesename.us/chinese-names-and-meanings,04-bg_aesthetic_orchid.png,style-text-dark,AESTHETIC,AUTHENTIC LIST,初始,,,,,
STRAT_V16_0058,MASCULINE,chinese names boys with meaning,Chinese Names | Boy & Fantasy,https://chinesename.us/chinese-names-and-meanings,10-bg_wuxia_dark.png,style-text-light,RARE BOY NAMES,NAMES IN CHINESE!,初始,,,,,
STRAT_V16_0059,MASCULINE,chinese names boy,Chinese Names | Boy & Fantasy,https://chinesename.us/chinese-boy-names,10-bg_wuxia_dark.png,style-text-light,50+ BOY NAMES,NAMES & MEANINGS,初始,,,,,
STRAT_V16_0060,MASCULINE,chinese names ideas boy,Chinese Names | Boy & Fantasy,https://chinesename.us/chinese-boy-names,06-bg_wuxia_dragon.png,style-text-light,TOP 100 BOY NAMES,KANJI & MEANING,初始,,,,,
STRAT_V16_0061,FEMININE,chinese names and meanings cute,Chinese Names | Girl & Aesthetic,https://chinesename.us/chinese-names-and-meanings,04-bg_aesthetic_orchid.png,style-text-dark,CUTE NAMES,CHINESE NAMES,初始,,,,,
STRAT_V16_0062,FEMININE,chinese names girl aesthetic,Chinese Names | Girl & Aesthetic,https://chinesename.us/chinese-girl-names,03-bg_aesthetic_plum.png,style-text-dark,POETIC,NAMES IN CHINESE!,初始,,,,,
STRAT_V16_0063,MASCULINE,chinese names male meaning,Chinese Names | Boy & Fantasy,https://chinesename.us/chinese-names-and-meanings,10-bg_wuxia_dark.png,style-text-light,BEST BOY NAMES,NAMES IN CHINESE!,初始,,,,,
STRAT_V16_0064,FEMININE,chinese names for boys aesthetic,Chinese Names | Girl & Aesthetic,https://chinesename.us/chinese-boy-names,05-bg_aesthetic_willow.png,style-text-dark,DREAMY,CLICK FOR LIST,初始,,,,,
STRAT_V16_0065,MASCULINE,chinese names boys,Chinese Names | Boy & Fantasy,https://chinesename.us/chinese-boy-names,07-bg_wuxia_fire.png,style-text-light,BOY NAMES,FOR OCS,初始,,,,,
STRAT_V16_0066,NEUTRAL_MIX,chinese last names aesthetic,Chinese Names | Inspiration,https://chinesename.us/chinese-last-names,13-bg_history_republic.png,style-text-dark,SURNAMES,CLICK FOR LIST,初始,,,,,
STRAT_V16_0067,NEUTRAL_MIX,chinese character names ideas,Chinese Names | Inspiration,https://chinesename.us/name-generator,12-bg_history_architecture.png,style-text-dark,NAME IDEAS,NATIVE AUDIO,初始,,,,,
STRAT_V16_0068,MASCULINE,chinese names ideas for boys,Chinese Names | Boy & Fantasy,https://chinesename.us/chinese-boy-names,10-bg_wuxia_dark.png,style-text-light,BOY NAMES,SEE FULL LIST,初始,,,,,
STRAT_V16_0069,MASCULINE,chinese names boys with meaning,Chinese Names | Boy & Fantasy,https://chinesename.us/chinese-names-and-meanings,16-bg_zodiac_snake.png,style-text-light,BOY NAMES,NAMES IN CHINESE!,初始,,,,,
STRAT_V16_0070,MASCULINE,chinese names boy meaning dragon,Chinese Names | Boy & Fantasy,https://chinesename.us/fantasy-chinese-name-generator,06-bg_wuxia_dragon.png,style-text-light,DRAGON,SEE FULL LIST,初始,,,,,
STRAT_V16_0071,MASCULINE,chinese names ideas boy,Chinese Names | Boy & Fantasy,https://chinesename.us/chinese-boy-names,08-bg_wuxia_sword.png,style-text-light,BOY NAMES,MEANING IN CHINESE,初始,,,,,
STRAT_V16_0072,MASCULINE,male names ideas chinese,Chinese Names | Boy & Fantasy,https://chinesename.us/chinese-boy-names,08-bg_wuxia_sword.png,style-text-light,BOY NAMES,CHINESE NAMES,初始,,,,,
STRAT_V16_0073,MASCULINE,chinese names with dark meanings,Chinese Names | Boy & Fantasy,https://chinesename.us/fantasy-chinese-name-generator,08-bg_wuxia_sword.png,style-text-light,DARK,NATIVE AUDIO,初始,,,,,
STRAT_V16_0074,FEMININE,chinese names with hua,Chinese Names | Girl & Aesthetic,https://chinesename.us/name-generator,01-bg_aesthetic_flower.png,style-text-dark,HUA (花),NAMES IN CHINESE!,初始,,,,,
STRAT_V16_0075,MASCULINE,chinese names boy ideas,Chinese Names | Boy & Fantasy,https://chinesename.us/chinese-boy-names,08-bg_wuxia_sword.png,style-text-light,UNIQUE BOY NAMES,NATIVE AUDIO,初始,,,,,
STRAT_V16_0076,FEMININE,chinese names for girls list,Chinese Names | Girl & Aesthetic,https://chinesename.us/chinese-girl-names,04-bg_aesthetic_orchid.png,style-text-dark,GIRL NAMES,CHINESE NAMES,初始,,,,,
STRAT_V16_0077,MASCULINE,chinese names boys,Chinese Names | Boy & Fantasy,https://chinesename.us/chinese-boy-names,07-bg_wuxia_fire.png,style-text-light,BOY NAMES,AUTHENTIC LIST,初始,,,,,
STRAT_V16_0078,MASCULINE,chinese names ideas male,Chinese Names | Boy & Fantasy,https://chinesename.us/chinese-boy-names,06-bg_wuxia_dragon.png,style-text-light,BOY NAMES,NATIVE AUDIO,初始,,,,,
STRAT_V16_0079,NATURE_ONLY,chinese cat names list,Chinese Names | Inspiration,https://chinesename.us/chinese-cat-names,02-bg_aesthetic_sky.png,style-text-light,CAT NAMES,NATIVE AUDIO,初始,,,,,
STRAT_V16_0080,NEUTRAL_MIX,chinese names with deep meaning,Chinese Names | Inspiration,https://chinesename.us/chinese-names-and-meanings,02-bg_aesthetic_bamboo.png,style-text-dark,BEST NAME IDEAS,50+ IDEAS,初始,,,,,
STRAT_V16_0081,MASCULINE,chinese names and meanings male,Chinese Names | Boy & Fantasy,https://chinesename.us/chinese-names-and-meanings,08-bg_wuxia_sword.png,style-text-light,BOY NAMES,FOR CHARACTERS,初始,,,,,
STRAT_V16_0082,FEMININE,chinese names with hua,Chinese Names | Girl & Aesthetic,https://chinesename.us/name-generator,03-bg_aesthetic_plum.png,style-text-dark,HUA (花),NAMES IN CHINESE!,初始,,,,,
STRAT_V16_0083,MASCULINE,chinese names and meanings boy,Chinese Names | Boy & Fantasy,https://chinesename.us/chinese-names-and-meanings,07-bg_wuxia_fire.png,style-text-light,BOY NAMES,FOR OCS,初始,,,,,
STRAT_V16_0084,FEMININE,chinese names girl meaning star,Chinese Names | Girl & Aesthetic,https://chinesename.us/chinese-names-and-meanings,04-bg_aesthetic_orchid.png,style-text-dark,STAR,AUTHENTIC LIST,初始,,,,,
STRAT_V16_0085,FEMININE,chinese names girl aesthetic,Chinese Names | Girl & Aesthetic,https://chinesename.us/chinese-girl-names,04-bg_aesthetic_orchid.png,style-text-dark,POETIC,FOR CHARACTERS,初始,,,,,
STRAT_V16_0086,MASCULINE,chinese names boy cold,Chinese Names | Boy & Fantasy,https://chinesename.us/chinese-boy-names,06-bg_wuxia_dragon.png,style-text-light,COLD / ICE,NAMES IN CHINESE!,初始,,,,,
STRAT_V16_0087,FEMININE,cute chinese girl names with meaning,Chinese Names | Girl & Aesthetic,https://chinesename.us/chinese-names-and-meanings,05-bg_aesthetic_willow.png,style-text-dark,CUTE NAMES,NATIVE AUDIO,初始,,,,,
STRAT_V16_0088,NEUTRAL_MIX,facebook chinese names ideas,Chinese Names | Inspiration,https://chinesename.us/name-generator,03-bg_aesthetic_water.png,style-text-dark,NAME IDEAS,NAMES & MEANINGS,初始,,,,,
STRAT_V16_0089,NEUTRAL_MIX,chinese names with s,Chinese Names | Inspiration,https://chinesename.us/name-generator,03-bg_aesthetic_water.png,style-text-dark,START WITH S,NAMES IN CHINESE!,初始,,,,,
STRAT_V16_0090,MASCULINE,chinese names male old,Chinese Names | Boy & Fantasy,https://chinesename.us/chinese-boy-names,08-bg_wuxia_sword.png,style-text-light,OLD NAMES,50+ IDEAS,初始,,,,,
STRAT_V16_0091,FEMININE,chinese names for boys aesthetic,Chinese Names | Girl & Aesthetic,https://chinesename.us/chinese-boy-names,01-bg_aesthetic_flower.png,style-text-dark,DREAMY,AUTHENTIC LIST,初始,,,,,
STRAT_V16_0092,FEMININE,cute chinese girl names with meaning,Chinese Names | Girl & Aesthetic,https://chinesename.us/chinese-names-and-meanings,01-bg_aesthetic_flower.png,style-text-dark,CUTE NAMES,NAMES & MEANINGS,初始,,,,,
